STATE,CNTY,NAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
21,153,Magoffin,10.5,9.9,11.3,11.8,12.6,11.7,10.2,10.4,10.7,18.4,19.6,16.3,16.4,17.1
21,155,Marion,5,5.7,5.1,5.6,5,5.7,5.2,5.1,6.4,13.2,11.4,9.7,7.9,7.3
21,157,Marshall,5.1,6.4,7.5,7.5,6.6,6.5,6.1,5.8,6.3,10.6,10.9,9.6,8.5,8.6
21,159,Martin,7.2,6.6,7.1,8.2,7.4,7.7,7.4,7.8,7.6,11.3,11.5,10,10.3,11.2
21,161,Mason,3.7,4.6,5.2,5.8,5.7,6.3,5.2,4.6,6,10.8,10,8.8,8.3,9.2
21,163,Meade,4,5.1,5.8,6.3,5.9,7,6.4,6,7.7,12.9,12.3,12.3,10.1,8.6
21,165,Menifee,6.2,7.7,8.1,9.1,7,8.1,8.5,8.5,9.9,16.4,17.3,15.1,12.4,12.5
21,167,Mercer,3.8,5.1,5.5,6.2,5.2,5.8,5.8,5.2,6.3,11.3,11.3,10.4,8.3,8
21,169,Metcalfe,4.5,5.2,5.1,5.4,4.5,5.6,5.5,5.6,7,15.6,13.7,11.7,8.1,8.5
21,171,Monroe,8.1,8.8,6.6,7.1,5.3,6.4,6.2,6.8,8.3,13.9,11,9.1,7.3,7.2
21,173,Montgomery,4.3,6.2,6.5,6.5,6.5,6.9,6,5.8,7.4,12.4,11.4,10.5,8.2,8
21,175,Morgan,6.4,8.2,9,9.5,8.7,9.6,8.7,8.7,9.7,13.6,13.7,11.6,11.2,11.4
21,177,Muhlenberg,5.8,8.2,8,8,7.5,8.6,9.1,7.9,8.5,10.8,10.5,9.9,9.3,9.2
21,179,Nelson,4.2,5.1,5.9,6.1,5.1,6.3,5.8,5.8,7.3,12.4,11.6,11.4,8.5,7.8
21,181,Nicholas,7,6.1,6.9,6.6,6.5,9.5,6.7,6.3,7.3,12.2,11.6,10.2,9.3,10.1
21,183,Ohio,5.1,6,7,7.5,6.2,6.5,6,5.2,6.4,9.7,9,7.7,6.8,7.2
21,185,Oldham,3,3.5,4,4.4,4,4.8,4.9,4.8,5.6,8.3,8.2,7.7,6.6,6.3
21,187,Owen,3.6,4.3,4.7,4.9,5.1,5.8,5.5,5,6.5,9.8,9.1,8.2,7,6.8
21,189,Owsley,5.7,6.8,6.7,8.5,7.4,7.7,8.2,9.2,8,10.5,11.3,11.5,11,11.7
